Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,Male,M,75-84 years,75-84,20,Not Applicable,Not Applicable
,Black or African American,2054-5,"Alzheimer disease, unspecified",G30.9,Male,M,85+ years,85+,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Multiple sclerosis,G35,Female,F,55-64 years,55-64,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,45-54 years,45-54,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,55-64 years,55-64,36,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,65-74 years,65-74,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,75-84 years,75-84,29,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Female,F,85+ years,85+,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,35-44 years,35-44,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,45-54 years,45-54,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,55-64 years,55-64,46,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,65-74 years,65-74,35,Not Applicable,Not Applicable
,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,Male,M,75-84 years,75-84,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Encephalopathy, unspecified",G93.4,Female,F,65-74 years,65-74,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Encephalopathy, unspecified",G93.4,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Encephalopathy, unspecified",G93.4,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Female,F,45-54 years,45-54,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Female,F,55-64 years,55-64,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Female,F,65-74 years,65-74,23,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Female,F,75-84 years,75-84,30,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Female,F,85+ years,85+,33,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Male,M,45-54 years,45-54,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Male,M,55-64 years,55-64,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Male,M,65-74 years,65-74,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Essential (primary) hypertension,I10,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,55-64 years,55-64,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,75-84 years,75-84,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,85+ years,85+,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,35-44 years,35-44,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,45-54 years,45-54,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,55-64 years,55-64,39,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,65-74 years,65-74,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,75-84 years,75-84,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,85+ years,85+,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,25-34 years,25-34,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,35-44 years,35-44,43,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,45-54 years,45-54,62,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,55-64 years,55-64,59,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,65-74 years,65-74,40,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,75-84 years,75-84,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Female,F,65-74 years,65-74,25,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Female,F,75-84 years,75-84,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Female,F,85+ years,85+,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Male,M,45-54 years,45-54,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Male,M,55-64 years,55-64,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Male,M,75-84 years,75-84,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Female,F,85+ years,85+,14,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute subendocardial myocardial infarction,I21.4,Male,M,85+ years,85+,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,45-54 years,45-54,36,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,55-64 years,55-64,91,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,65-74 years,65-74,116,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,75-84 years,75-84,124,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,85+ years,85+,131,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,35-44 years,35-44,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,45-54 years,45-54,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,55-64 years,55-64,139,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,65-74 years,65-74,150,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,75-84 years,75-84,117,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,85+ years,85+,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Acute ischaemic heart disease, unspecified",I24.9,Male,M,55-64 years,55-64,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,45-54 years,45-54,24,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,55-64 years,55-64,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,65-74 years,65-74,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,75-84 years,75-84,50,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,85+ years,85+,36,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,35-44 years,35-44,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,45-54 years,45-54,53,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,55-64 years,55-64,80,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,65-74 years,65-74,80,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,75-84 years,75-84,35,Not Applicable,Not Applicable
,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,85+ years,85+,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Female,F,45-54 years,45-54,33,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Female,F,55-64 years,55-64,106,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Female,F,65-74 years,65-74,134,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Female,F,75-84 years,75-84,164,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Female,F,85+ years,85+,131,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,35-44 years,35-44,29,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,45-54 years,45-54,57,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,55-64 years,55-64,169,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,65-74 years,65-74,179,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,75-84 years,75-84,161,Not Applicable,Not Applicable
,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,Male,M,85+ years,85+,88,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Female,F,65-74 years,65-74,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Male,M,45-54 years,45-54,13,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Male,M,55-64 years,55-64,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic ischaemic heart disease, unspecified",I25.9,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Chronic ischaemic heart disease, unspecified",I25.9,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,35-44 years,35-44,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,45-54 years,45-54,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,55-64 years,55-64,32,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,65-74 years,65-74,28,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,75-84 years,75-84,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Female,F,85+ years,85+,18,Not Applicable,Not Applicable
,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,Male,M,45-54 years,45-54,21,Not Applicable,Not Applicable
